ID_event,start_date,end_date,title_event,event_format,url,Region,Country,City,Location,keywords1,keywords2
1,2025-07-21,2025-07-23,"12th International Conference on Communities & Technologies (C&T 2025)",Conference,https://2025.comtech.community/,Europe,Germany,Siegen,"University of Siegen","Communities and Technologies",NULL
2,2025-08-17,2025-08-19,"12th International Conference on Multimedia and Human-Computer Interaction (MHCI 2025)",Conference,https://eecss.org/,Europe,France,Paris,"Not Specified","Human-Computer Interaction (HCI)",Multimedia
3,2025-03-01,2025-03-05,"23rd ACM/IEEE International Symposium on Code Generation and Optimization",Symposium,https://2025.cgo.org/,"North America","United States of America","Las Vegas, NV","Not Specified","Code Generation",Optimization
4,2025-10-25,2025-10-30,"28th European Conference on Artificial Intelligence (ECAI)",Conference,https://ecai2025.org/,Europe,Italy,Bologna,"Not Specified","Artificial Intelligence (AI)",NULL
5,2025-05-03,2025-05-05,"28th International Conference on Artificial Intelligence and Statistics (AISTATS)",Conference,https://aistats.org/aistats2025//,Asia,Thailand,"Mai Khao","Splash Beach Resort in Mai Khao","Machine Learning (ML)","Artificial Intelligence (AI)"
6,2025-01-20,2025-01-23,"30th Asia and South Pacific Design Automation Conference",Conference,https://www.aspdac.com/aspdac2025/index.html,Asia,Japan,Tokyo,"Not Specified","Electronics Technology","Very Large Scale Integration (VLSI)"
7,2025-01-19,2025-01-24,"31st International Conference on Computational Linguistics (COLING 2025)",Conference,https://coling2025.org/,Asia,"United Arab Emirates","Abu Dhabi","Abu Dhabi National Exhibition Centre (ADNEC)","Computational Linguistics",NULL
8,2025-04-09,2025-04-11,"3rd IEEE Conference on Secure and Trustworthy Machine Learning",Conference,https://satml.org/,Europe,Denmark,Copenhagen,"University of Copenhagen","Machine Learning (ML)",NULL
9,2025-04-27,2025-05-03,"3rd International Workshop on Responsible AI Engineering",Workshop,https://conf.researchr.org/home/icse-2025/raie-2025,"North America",Canada,"Ottawa, Ontario","Not Specified","AI Ethics","Responsible AI Engineering"
10,2025-02-27,2025-03-02,"39th Annual AAAI Conference on Artificial Intelligence",Conference,https://aaai.org/conference/aaai/,"North America","United States of America","Philadelphia, Pennsylvania","Pennsylvania Convention Center","Artificial Intelligence (AI)",NULL
11,2025-05-19,2025-05-23,"24th International Conference on Autonomous Agents and Multiagent Systems",Conference,https://aamas2025.org/,"North America","United States of America",Detroit,"Detroit Marriott at the Renaissance Center","Machine Learning (ML)",Robotics
12,2025-04-03,2025-04-04,"Accreditation Board for Engineering and Technology (ABET) Symposium",Symposium,https://symposium.abet.org/,"North America","United States of America","San Diego, California","Hilton San Diego Bayfront","Engineering and Technology",NULL
13,2025-02-10,2025-02-14,"ACE 2025: Australasian Computing Education Conference",Conference,https://aceconference2025.github.io/authors.html,Oceania,Australia,Brisbane,"University of Queensland",EduTech,"Computing Education"
14,2025-06-23,2025-06-26,"ACM FAccT ACM Conference on Fairness, Accountability, and Transparency",Conference,https://facctconference.org/,Europe,Greece,Athens,"Not Specified","AI Ethics","Sociotechnical Studies"
15,2025-03-03,2025-03-06,"ACM/IEEE International Conference on Human-Robot Interaction",Conference,https://www.ieee-ras.org/humanrobotinteraction.org/2025,Oceania,Australia,Melbourne,"Not Specified","Human-Robot Interaction (HRI)",NULL
16,2025-01-27,2025-01-29,"AHEAD Ingenuity Forum",Forum,https://www.ahead.org/events-programming/conferences/2025-ingenuity-forum,"North America","United States of America","New Orleans","InterContinental New Orleans",EduTech,"Higher Education and Disability"
17,2025-06-02,2025-08-01,"AI + Data Ethics Summer Training Program","Training Program",https://philevents.org/event/show/128366,"North America","United States of America","Boston, MA","Northeastern University, Ethics Institute","AI Ethics",NULL
18,2025-04-16,2025-04-17,"AI and the Humanities: An Interdisciplinary Symposium",Symposium,https://about.illinoisstate.edu/aihumanitiesisu/,"North America","United States of America",Illinois,"Illinois State University","AI and Humanities",NULL
19,2025-02-20,NULL,"AI Colloquium with Prof. Dr. Gregor Kasieczka",Colloquium,https://lamarr-institute.org/events/ai-colloquium-gregor-kasieczka/,Europe,Germany,Düsseldorf,"Lamarr Institute",EduTech,NULL
20,2025-02-20,NULL,"AI Colloquium with Prof. Edward A. Lee",Colloquium,https://lamarr-institute.org/events/ai-colloquium-edward-a-lee/,Europe,Germany,Düsseldorf,"Lamarr Institute, Otto-Hahn-Strasse 14","Natural Language Processing (NLP)",NULL
21,2025-01-07,2025-01-11,"Consumer Electronics Show (CES) 2025",Expo,https://www.ces.tech/,"North America","United States of America","Las Vegas, NV","Las Vegas Convention Center","Technology Innovation",NULL
22,2025-08-11,2025-08-13,"Ai4 2025",Conference,https://ai4.io/vegas/,"North America","United States of America","Not Specified","Not Specified","Industry Applications",NULL
23,2025-06-26,2025-06-29,"AIAI 2025: 21st International Conference on Artificial Intelligence Applications and Innovations",Conference,https://ifipaiai.org/2025/?gad_source=1&gclid=Cj0KCQiAy8K8BhCZARIsAKJ8sfRjWspUpvZ4E9cUiHhbyVsOi66GZxy0tJm1PesvTDAoHZ46EsDtmqoaAsjrEALw_wcB,Europe,Cyprus,Limassol,"Cyprus University of Technology","Artificial Intelligence (AI)",NULL
24,2025-01-27,2025-01-29,"AIxVR '25: IEEE International Conference on Artificial Intelligence & eXtended and Virtual Reality",Conference,https://aixvr.tecnico.ulisboa.pt/,Europe,Portugal,Lisbon,"Not Specified","Extended Reality (ER)",NULL
25,2025-02-27,2025-03-02,"Artificial Intelligence for Cyber Security Workshop",Workshop,"https://www.ll.mit.edu/conferences-events/conferences-workshops#:~:text=Artificial%20Intelligence%20for%20Cyber%20Security%20Workshop&text=The%20focus%20of%20the%20workshop,held%20during%20the%20AAAI%20Conference.","North America","United States of America","Philadelphia, Pennsylvania","Not Specified","Artificial Intelligence (AI)",NULL
26,2025-06-29,2025-07-02,"ASCD Annual Conference: Leading Without Limits",Conference,https://event.ascd.org/2025/,"North America","United States of America","San Antonio, Texas","Not Specified",EduTech,"Education Leadership"
27,2025-05-18,2025-05-21,"Association for Talent Development (ATD) International Conference and Expo",Conference,https://atdconference.td.org/,"North America","United States of America","Washington D.C.","Walter E. Washington Convention Center","Talent Development",NULL
28,2025-06-23,2025-06-25,"B2B Connect 2025 B2B Marketing & eCommerce",Expo,https://b2bconnect.wbresearch.com/,Europe,Denmark,"Not Specified","Not Specified","Digital Transformation",NULL
29,2025-01-05,2025-01-25,"Bangalore Neuromorphic Engineering Workshop",Workshop,https://neuronicslab.github.io/bangaloreneuromorphicworkshop/,Asia,"United States of America",Bangalore,"Indian Institute of Science","Neuromorphic computing","Neuromorphic Engineering"
30,2025-05-23,NULL,"Being Human in the Age of AI",Conference,https://www.ai-humanity-london.com/being-human-in-the-age-of-ai,Europe,"United Kingdom",London,"Senate House","AI and Humanities",NULL
31,2025-05-07,2025-05-21,"Beyond Digital: Online AI workshops for school, educators and leadership teams",Workshop,https://ecis.org/event/beyond-digital-online-ai-workshops-2025/,Europe,"United Kingdom",London,Online,Leadership,NULL
32,2025-02-20,2025-02-22,"BIOSTEC25: 18th International Joint Conference on Biomedical Engineering Systems and Technologies",Conference,https://biostec.scitevents.org/,Europe,Portugal,Porto,"Not Specified","Systems Technologies",NULL
33,2025-06-03,2025-06-04,"Biotechnology and Resilient Human Systems Workshop",Workshop,https://llevents.ll.mit.edu/brhs/,"North America","United States of America",Massachusetts,"MIT Lincoln Laboratory Lexington, Massachusetts","Resilient Human Systems",Biotechnology
